Brand,Name,CPU,Weight,Price,OldPrice,Link,ImageLink,Display,RAM,Storage,Graphics Card,Size,OS,Manufacturing Year,Source,Matching Group
LENOVO,Lenovo Ideapad 3 15IAU7," i5, 1235U",1.63 kg,13.990.000₫,17.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-15iau7-i5-1235u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/2/15/638120787227196087_lenovo-ideapad-3-15iau7-xanhnhat-1.jpg,"15.6 inch, 1920 x 1080 Pixels, TN, Hãng không công bố, Anti-Glare LED-Backlit Display","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,Intel Iris Xe Graphics,359.2 x 236.5 x 19.9 mm,Windows 11 Home Single Language,2022,fptshop,Lenovo Ideapad 3 15IAU7
LENOVO,Lenovo Ideapad Gaming 3 15ARH7," Ryzen 5, 6600H",2.315 kg,16.990.000₫,18.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-gaming-3-15arh7-r5-6600h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/8/15/637961729514184998_lenovo-ideapad-gaming-3-15arh7-trang-4.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 120 Hz, 250 nits, IPS","8 GB (1 thanh 8 GB), DDR5, 4800 MHz",SSD 512 GB,"NVIDIA GeForce RTX 3050 4GB, AMD Radeon Graphics",359.6 x 266.4 x 21.8 mm,Windows 11 Home,2022,fptshop,Lenovo Ideapad Gaming 3 15ARH7
LENOVO,Lenovo IdeaPad 3 14IAU7," i3, 1215U",1.43 kg,10.390.000₫,14.690.000₫,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-14iau7-i3-1215u-512gb,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/2/14/638119938225084054_lenovo-ideapad-3-14iau7-xam-1.jpg,"14.0 inch, 1920 x 1080 Pixels, TN, 60 Hz, 250 nits, Anti-Glare LED-Backlit Display","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,Intel UHD Graphics,324.2 x 215.7 x 19.9 mm,Windows 11 Home,2022,fptshop,Lenovo IdeaPad 3 14IAU7
HP,HP Pavilion 14-dv2076TU," i5, 1235U",1.41 kg,15.490.000₫,18.690.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-14-dv2076tu-i5-1235u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/10/7/638007643201504540_hp-pavilion-14-dv-vang-1.jpg,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, IPS","8 GB (2 thanh 4 GB), DDR4, 3200 MHz",SSD 256 GB,None,325 x 216.6 x 17 mm,Windows 11 Home Single Language,,fptshop,HP Pavilion 14-dv2076TU
HP,HP Gaming Victus 16-e1107AX," Ryzen 5, 6600H",2.4 kg,19.990.000₫,25.490.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-gaming-victus-16-e1107ax-r5-6600h,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/2/17/638122294501145231_hp-gaming-victus-16-e1107ax-r5-6600h-den-1.jpg,"16.1 inch, 1920 x 1080 Pixels, IPS, 144 Hz, IPS","8 GB (1 thanh 8 GB), DDR5, 4800 MHz",SSD 512 GB,None,37 x 26 x 2.35 cm,Windows 11 Home Single Language,,fptshop,HP Gaming Victus 16-e1107AX
ACER,Acer Aspire Gaming A715-42G-R05G," Ryzen 5, 5500U",2.1 kg,14.990.000₫,19.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-gaming-a715-42g-r05g-r5-5500u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/11/18/637728596112270896_acer-aspire-gaming-a715-42g-r1sb-r5-5500u-den-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Acer ComfyView Anti-glare LED-backlit","8 GB, DDR4, 3200 MHz",SSD 512 GB,"NVIDIA GeForce GTX 1650 4GB, AMD Radeon Graphics",363.4 x 254.5 x 22.9 mm,Windows 11 Home Single Language,,fptshop,Acer Aspire Gaming A715-42G-R05G
HP,HP 15s-fq5145TU," i7, 1255U",1.69 kg,17.790.000₫,20.290.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq5145tu-i7-1255u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/7/11/637931467775595338_hp-15s-fq-bac-win11-1.jpg,"15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 250 nits, BrightView Micro-edge WLED-backlit","8 GB (2 thanh 4 GB), DDR4, 3200 MHz",SSD 256 GB,Intel Iris Xe Graphics,358.5 x 242 x 17.9 mm,Windows 11 Home Single Language,2022,fptshop,HP 15s-fq5145TU
ACER,Acer Swift 3 SF314-43-R4X3," Ryzen 5, 5500U",1.19 kg,15.990.000₫,20.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/acer-swift-3-sf314-43-r4x3-r5-5500u,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/11/18/637728602870778442_acer-swift-3-sf314-43-r4x3-r5-5500u-bac-1.jpg,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, Acer ComfyView LED-backlit","16 GB, LPDDR4X, 4266 MHz",SSD 512 GB,AMD Radeon Graphics,322.8 x 212.2 x 15.9 mm,Windows 11 Home Single Language,2021,fptshop,Acer Swift 3 SF314-43-R4X3
ACER,Acer Swift 3 SF314-511-55QE," i5, 1135G7",1.19 kg,17.690.000₫,22.990.000₫,https://fptshop.com.vn/may-tinh-xach-tay/acer-swift-3-sf314-511-55qe-i5-1135g7,https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/1/22/637784648681916953_acer-swift-3-sf314-511-bac-1.jpg,"14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, Acer ComfyView Anti-glare LED-backlit","16 GB, LPDDR4X, 4266 MHz",SSD 512 GB,Intel Iris Xe Graphics,15.9 x 322.8 x 212.2 mm,Windows 11 Home,,fptshop,Acer Swift 3 SF314-511-55QE
HP,HP 15s-fq5163TU," i5, 1235U",1.69 kg,13.990.000₫,17.690.000₫,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq5163tu-i5-1235u,https://images.fpt.shop/unsafe/fit-in/665x374/filters:quality(100):fill(white)/fptshop.com.vn/Uploads/Originals/2023/4/26/638181228655932167_hp-15s-fq5163tu-i5-1235u-thiet-ke.jpg,"15.6 inch, 1920 x 1080 Pixels, WVA, 60 Hz, 250 nits, Wide-Viewing Angle (WVA)","8 GB (2 thanh 4 GB), DDR4, 3200 MHz",SSD 256 GB,None,358.5 x 242 x 17.9 mm,Windows 11 Home Single Language,,fptshop,HP 15s-fq5163TU
