ID,Brand,Name,Price,Old Price,Link,ImageLink,CPU,Display,RAM,Graphics Card,Storage,OS,Battery,Weight
96,Dell,Dell Vostro 3420,17.590.000₫,18.890.000₫,https://phongvu.vn/laptop-dell-vostro-3420-70283385--s220503339,https://lh3.googleusercontent.com/V3mm4pgyF6OgJUbc7DXzV-lxa1G0JKMsSb2_4l7nrhZVlzQkWVKv4uHhfWOy0eC8SdYWwcjwCxBTFVDXFvhysaOF3Ueyj84S=w500-rw,Intel Core i5-1135G7,"14"" IPS (1920 x 1080)",1 x 8GB DDR4 2666MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.5kg,1.5kg
97,ASUS,ASUS Vivobook X515MA-BR481W,7.890.000₫,8.290.000₫,https://phongvu.vn/asus-vivobook-x515ma-br481w--s220503379,https://lh3.googleusercontent.com/WRmyGb5OCeV7fV-1VrUyHyr8RkNFqm4ui_2AzEIP8GQ_zS2sxnwNyUt2CVd3z5aGzz9dFLDt-nM1n30dLke9KxxJ5uujnZ4=w500-rw,Intel Celeron N4020,"15.6"" (1366 x 768)",1 x 4GB DDR4,Onboard Intel UHD Graphics 600,256GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.8kg,1.8kg
98,ASUS,ASUS Vivobook X515EP-EJ448W,18.490.000₫,null,https://phongvu.vn/asus-vivobook-x515ep-ej448w--s220503380,https://lh3.googleusercontent.com/afbOwvToomCPUo7sHijb3OzYAAsNUOmWLE22aK0A6JlGZLQe2J5NUdViKDxbQG7xAvZG_DrPPpup8izTgzxVHvdH43Pio-waSQ=w500-rw,Intel Core i7-1165G7,"15.6"" (1920 x 1080)","1 x 4GB, 1 x 4GB Onboard DDR4",GeForce MX330 2GB GDDR5 / Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.8kg,1.8kg
99,ASUS,ASUS ROG Zephyrus G14 GA402RK-L4242W,54.390.000₫,56.990.000₫,https://phongvu.vn/asus-rog-zephyrus-g14-ga402rk-l4242w--s220503383,https://lh3.googleusercontent.com/hYps8QWxQlJ-fYIKtLSkTnZUN6PEujxDFjyXEV4BA9djO648zV3-JoouDHClcQXGJgdaqHTPGNZD8LR35Bp9IW9453asgJU=w500-rw,AMD Ryzen 7 6800HS,"14"" IPS (2560 x 1600),120Hz","1 x 16GB, 16GB Onboard DDR5 4800MHz",RX 6800S 8GB GDDR6 / AMD Radeon 680M,1TB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.8kg,1.8kg
100,ASUS,ASUS ROG Zephyrus G15 GA503RM-LN006W,48.690.000₫,50.990.000₫,https://phongvu.vn/asus-rog-zephyrus-g15-ga503rm-ln006w--s220503384,https://lh3.googleusercontent.com/YRVtmJ8XTRMlTBTKP0pBoyAHskYmR83JlO_8yr52uz386-NQMDiOHLBgkJbnTWnXbIg9g0QCOyKAUS4CGOWLXt3C_dVafz8=w500-rw,AMD Ryzen 7 6800HS,"15.6"" IPS (2560 x 1440),240Hz","1 x 8GB, 8GB Onboard DDR5 4800MHz",RTX 3060 6GB GDDR6 / AMD Radeon 680M,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.9kg,1.9kg
101,ASUS,ASUS ROG Strix G17 G713RW-LL157W,59.990.000₫,null,https://phongvu.vn/asus-rog-strix-g17-g713rw-ll157w--s220503387,https://lh3.googleusercontent.com/PrO5oE9rpJ3nm0MLEGO-fddEhGs915qeFS3MvR89eUR--jfAjvZaVHfpXKuU-3-bRAPLCXt0BEo1bE9UucK8ld_W6b0spbh2=w500-rw,AMD Ryzen 7 6800H,"17.3"" IPS ,240Hz",16GB DDR5 4800MHz,RTX 3070Ti 8GB GDDR6 / AMD Radeon 680M,1TB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 2.9kg,2.9kg
102,ASUS,ASUS ROG Zephyrus Duo 16 GX650RW-LO999W,88.690.000₫,95.990.000₫,https://phongvu.vn/asus-rog-zephyrus-duo-16-gx650rw-lo999w--s220605440,https://lh3.googleusercontent.com/gW5IiQmItBovhR-0rj55_hbwZgQw6AWyGnUoCrlNpsDT-gF0baBt7NzW5ZUr7mw8QpJ9b5NQKlCUs32nsSO4U-Q040hZAno=w500-rw,AMD Ryzen 9 6900HX,"16"" (2560 x 1600),165Hz",2 x 16GB DDR5 4800MHz,RTX 3070Ti 8GB GDDR6 / AMD Radeon 680M,1TB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 2.6kg,2.6kg
103,Lenovo,Lenovo ThinkBook 15 G2 ITL-20VE00UNVN,19.990.000₫,21.390.000₫,https://phongvu.vn/laptop-lenovo-thinkbook-15-g2-itl-20ve00unvn--s220605447,https://lh3.googleusercontent.com/-RhCDuRLIB4HrsHnUrhtz_1nyq16FcuvZppo4qKpffUKDUJhDOEWHZaw3aMZByqcebio92xYw60mUlPGakuhwQLwnBB5GJlm=w500-rw,Intel Core i5-1135G7,"15.6"" IPS (1920 x 1080)",8GB Onboard DDR4 3200MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.7kg,1.7kg
104,Lenovo,Lenovo V14 G2 ALC 82KC00BBVN,13.290.000₫,13.900.000₫,https://phongvu.vn/laptop-lenovo-v14-g2-alc-82kc00bbvn--s220605620,https://lh3.googleusercontent.com/N3YoqXOlX4hh-AlyL3DL92l_hiuZR7puLk3TSmHUTbPfx8MPN8DjfpN3JeQL59BkfCBXdcuSB9vY6nVucuNhnq3eSZgV_4s9=w500-rw,AMD Ryzen 5 5500U,"14"" TN (1920 x 1080)",8GB Onboard DDR4 3200MHz,Onboard AMD Radeon Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.6kg,1.6kg
109,HP,HP 15s-fq5081TU,16.890.000₫,null,https://phongvu.vn/laptop-hp-15s-fq5081tu-6k7a1pa--s220609875,https://lh3.googleusercontent.com/2GaqRIzZa5RryXfwXU0LQon6BIAFIYgyA5j8m8957GIGHNYwG9OF5qMrxfKC8BDYt-2fAk0ARVWSQ6CmTl9pDXLeS37iOXE_=w500-rw,Intel Core i5-1235U,"15.6"" IPS (1366 x 768)",2 x 4GB DDR4 3200MHz,Onboard Intel Iris Xe Graphics,256GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.7kg,1.7kg
